Codigo;Nombre;Ciclo;Tipo;Plan;Escuela
201001;ALGORÍTMICA I;1;Obligatorio;2009;1
201003;CALCULO I;1;Obligatorio;2009;1
201004;MATEMÁTICA BÁSICA I;1;Obligatorio;2009;1
201007;COMPUTACIÓN E INFORMÁTICA;1;Obligatorio;2009;1
201008;TEORIA DE SISTEMAS;1;Obligatorio;2009;1
201009;TALLER DE TECNICAS DE ESTUDIO;1;Obligatorio;2009;1
202001;ALGORÍTMICA II;2;Obligatorio;2009;1
202003;CÁLCULO II;2;Obligatorio;2009;1
202004;MATEMÁTICA BÁSICA II;2;Obligatorio;2009;1
202007;FISICA GENERAL;2;Obligatorio;2009;1
202008;ESTRUCTURA DE DATOS;2;Obligatorio;2009;1
202009;ECONOMIA;2;Obligatorio;2009;1
203001;ALGORÍTMICA III;3;Obligatorio;2009;1
203004;MATEMÁTICA DISCRETA;3;Obligatorio;2009;1
203005;ESTADÍSTICA I;3;Obligatorio;2009;1
203006;DISEÑO GRÁFICO;3;Obligatorio;2009;1
203007;ELECTROMAGNETISMO;3;Obligatorio;2009;1
203008;ORGANIZACIÓN Y ADMINISTRACIÓN;3;Obligatorio;2009;1
204001;TÉCNICAS DE MODELAMIENTO;4;Obligatorio;2009;1
204002;COMPUTACIÓN GRÁFICA;4;Obligatorio;2009;1
204004;ECUACIONES DIFERENCIALES;4;Obligatorio;2009;1
204006;ESTADISTICA II;4;Obligatorio;2009;1
204007;CIRCUITOS DIGITALES;4;Obligatorio;2009;1
204008;CONTABILIDAD GENERAL;4;Obligatorio;2009;1
205001;BASE DE DATOS;5;Obligatorio;2009;1
205006;MÉTODOS NUMÉRICOS;5;Obligatorio;2009;1
205007;INVESTIGACIÓN OPERATIVA I;5;Obligatorio;2009;1
205008;SISTEMAS DIGITALES;5;Obligatorio;2009;1
205009;LENGUAJES Y TRADUCTORES;5;Obligatorio;2009;1
205010;CONTABILIDAD GERENCIAL;5;Obligatorio;2009;1
206001;SISTEMAS OPERATIVOS;6;Obligatorio;2009;1
206007;ANÁLISIS DE SISTEMAS;6;Obligatorio;2009;1
206008;INVESTIGACIÓN OPERATIVA II;6;Obligatorio;2009;1
206009;TRANSMISIÓN DE DATOS;6;Obligatorio;2009;1
206010;ARQUITECTURA DE COMPUTADORAS;6;Obligatorio;2009;1
206011;TALLER DE PROYECTOS I;6;Obligatorio;2009;1
207002;REDES DE COMPUTADORAS;7;Obligatorio;2009;1
207003;DISEÑO DE SISTEMAS;7;Obligatorio;2009;1
207007;DISEÑO DE INTERFACE DE USUARIO;7;Obligatorio;2009;1
207008;INTELIGENCIA ARTIFICIAL;7;Obligatorio;2009;1
207009;MODELOS Y SIMULACIÓN;7;Obligatorio;2009;1
207010;INGENIERÍA ECONÓMICA;7;Obligatorio;2009;1
208001;INGENIERIA DE INFORMACION;8;Obligatorio;2009;1
208003;SISTEMAS DISTRIBUIDOS;8;Obligatorio;2009;1
208007;INGENIERÍA DE SOFTWARE;8;Obligatorio;2009;1
208008;"METODOLOGÍA PARA LA ELABORACIÓN DE TESIS";8;Obligatorio;2009;1
208009;TALLER DE PROYECTOS II;8;Obligatorio;2009;1
208010;INGENIERÍA DE CONTROL;8;Obligatorio;2009;1
