cod_semestre;cod_facultad;cod_escuela;cod_plan;cod_asignatura;cod_alumno;val_calific_final
20191;20;1;2009;201003;8200187;16
20191;20;1;2009;201101;6200206;15
20191;20;1;2009;201101;7200092;6
20191;20;1;2009;201101;110749;14
20191;20;1;2009;201101;4200074;12
20191;20;1;2009;201101;5200035;11
20191;20;1;2009;201101;110878;13
20191;20;1;2009;201101;6200064;16
20191;20;1;2009;201101;8200056;10
20191;20;1;2009;201101;6200118;13
20191;20;1;2009;201101;7200122;10
20191;20;1;2009;201101;8200098;14
20191;20;1;2009;201101;8200045;14
20191;20;1;2009;201103;6200166;17
20191;20;1;2009;201103;6200206;16
20191;20;1;2009;201103;110749;15
20191;20;1;2009;201103;4200146;14
20191;20;1;2009;201103;6200064;16
20191;20;1;2009;201103;7200122;15
20191;20;1;2009;201103;8200098;14
20191;20;1;2009;201103;8200135;14
20191;20;1;2009;201103;8200045;16
20191;20;1;2009;201103;8200188;15
20191;20;1;2009;201104;962808;11
20191;20;1;2009;201104;962909;6
20191;20;1;2009;201104;110749;12
20191;20;1;2009;201104;5200179;11
20191;20;1;2009;201104;5200035;12
20191;20;1;2009;201104;110878;13
20191;20;1;2009;201104;7200186;11
20191;20;1;2009;201104;8200098;12
20191;20;1;2009;201104;8200045;12
20191;20;1;2009;201104;7200055;12
20191;20;1;2009;201104;6200206;15
20191;20;1;2009;201104;5200109;15
20191;20;1;2009;201104;4200146;14
20191;20;1;2009;201104;8200169;15
20191;20;1;2009;201104;8200092;14
20191;20;1;2009;201104;8200213;2
20191;20;1;2009;201105;5200109;15
20191;20;1;2009;201105;5200161;6
20191;20;1;2009;201105;8200045;17
20191;20;1;2009;201105;997985;5
20191;20;1;2009;201105;110626;11
20191;20;1;2009;201105;7200186;13
20191;20;1;2009;201105;6200206;15
20191;20;1;2009;201105;110749;13
20191;20;1;2009;201105;8200098;0
20191;20;1;2009;201105;4200172;15
20191;20;1;2009;201105;7200121;0
20191;20;1;2009;201105;7200076;13
20191;20;1;2009;201105;4200074;12
20191;20;1;2009;201105;5200143;19
20191;20;1;2009;201105;7200060;15
20191;20;1;2009;201105;6200118;0
20191;20;1;2009;201105;8200102;12
20191;20;1;2009;201105;8200092;3
20191;20;1;2009;201105;8200213;0
20191;20;1;2009;201106;6200206;14
20191;20;1;2009;201106;4200146;13
20191;20;1;2009;201106;2200045;14
20191;20;1;2009;201203M ;962808;11
20191;20;1;2009;201203M ;6200150;2
20191;20;1;2009;201203M ;7200092;2
20191;20;1;2009;201203M ;110555;0
20191;20;1;2009;201203M ;110749;13
20191;20;1;2009;201203M ;4200146;13
20191;20;1;2009;201203M ;5200143;14
20191;20;1;2009;201203M ;5200179;8
20191;20;1;2009;201203M ;110878;6
20191;20;1;2009;201203M ;8200081;0
20191;20;1;2009;201203M ;8200008;3
20191;20;1;2009;201203M ;5200127;8
20191;20;1;2009;201205;6200064;3
20191;20;1;2009;201205;6200118;3
20191;20;1;2009;201205;7200122;11
20191;20;1;2009;201205;8200102;12
20191;20;1;2009;201205;8200188;14
20191;20;1;2009;201205;942004;11
20191;20;1;2009;201207;1114046;12
20191;20;1;2009;201207;4200074;12
20191;20;1;2009;201207;5200161;12
20191;20;1;2009;201207;8200092;10
20191;20;1;2009;201208;1114046;16
20191;20;1;2009;201208;5200179;14
20191;20;1;2009;201210;4200172;14
20191;20;1;2009;201210;1114046;12
20191;20;1;2009;201210;2200045;0
20191;20;1;2009;201210;4200053;7
20191;20;1;2009;201210;7200186;10
20191;20;1;2009;201210;7200055;4
20191;20;1;2009;201211;4200152;12
20191;20;1;2009;201211;8200021;0
20191;20;1;2009;202004;8200187;15
20191;20;1;2009;202007;4200026;11
20191;20;1;2009;202008;6200147;0
20191;20;1;2009;203001;5200046;9
20191;20;1;2009;203005;4200026;12
20191;20;1;2009;203008;8200187;14
20191;20;1;2009;204004;7200055;9
20191;20;1;2009;204004;7200108;0
20191;20;1;2009;205001;7200108;0
20191;20;1;2009;205006;5200046;0
20191;20;1;2009;205006;8200061;13
20191;20;1;2009;205006;2200002;7
20191;20;1;2009;205006;7200186;0
20191;20;1;2009;205006;8200021;13
20191;20;1;2009;205008;6200147;7
20191;20;1;2009;205008;5200009;11
20191;20;1;2009;205008;4200115;11
20191;20;1;2009;205009;5200009;12
20191;20;1;2009;205009;1114126;6
20191;20;1;2009;205009;115103;6
20191;20;1;2009;205009;8200153;1
20191;20;1;2009;205009;962909;0
20191;20;1;2009;205010;80A662  ;13
20191;20;1;2009;206001;8200182;13
20191;20;1;2009;206007;3200028;12
20191;20;1;2009;206007;8200061;9
20191;20;1;2009;206008;8200182;4
20191;20;1;2009;206008;1114126;1
20191;20;1;2009;206008;5200003;6
20191;20;1;2009;206008;5200127;8
20191;20;1;2009;206008;973021;2
20191;20;1;2009;206008;962909;0
20191;20;1;2009;206009;973021;13
20191;20;1;2009;206009;1113975;0
20191;20;1;2009;206010;5200003;14
20191;20;1;2009;206010;973021;0
20191;20;1;2009;206010;8200182;14
20191;20;1;2009;206010;1113975;0
20191;20;1;2009;206011;8200081;0
20191;20;1;2009;207002;5200117;11
20191;20;1;2009;207002;1113991;14
20191;20;1;2009;207002;80A662  ;11
20191;20;1;2009;207002;4200015;1
20191;20;1;2009;207002;8200061;11
20191;20;1;2009;207007;6200153;12
20191;20;1;2009;207007;4200015;0
20191;20;1;2009;207008;5200117;11
20191;20;1;2009;207008;1113991;13
20191;20;1;2009;207008;962808;12
20191;20;1;2009;207008;962909;12
20191;20;1;2009;207008;3200028;15
20191;20;1;2009;207008;8200073;15
20191;20;1;2009;207008;8200009;12
20191;20;1;2009;207008;6200015;2
20191;20;1;2009;207008;5200003;11
20191;20;1;2009;207008;4200115;15
20191;20;1;2009;207009;1113991;15
20191;20;1;2009;207009;6200015;12
20191;20;1;2009;207009;4200115;13
20191;20;1;2009;207010;8200182;15
20191;20;1;2009;207010;7200108;17
20191;20;1;2009;207010;110574;0
20191;20;1;2009;207010;6200147;13
20191;20;1;2009;207010;2200002;14
20191;20;1;2009;208001;5200117;10
20191;20;1;2009;208001;1113991;16
20191;20;1;2009;208001;962808;17
20191;20;1;2009;208001;6200150;10
20191;20;1;2009;208001;6200153;17
20191;20;1;2009;208001;8200021;17
20191;20;1;2009;208001;8200090;10
20191;20;1;2009;208001;8200192;18
20191;20;1;2009;208003;962808;10
20191;20;1;2009;208003;6200153;12
20191;20;1;2009;208003;110878;11
20191;20;1;2009;208003;8200163;0
20191;20;1;2009;208003;8200192;15
20191;20;1;2009;208007;6200150;0
20191;20;1;2009;208007;6200153;14
20191;20;1;2009;208007;8200090;0
20191;20;1;2009;208007;8200192;14
20191;20;1;2009;208007;110574;13
20191;20;1;2009;208008;8200163;0
20191;20;1;2009;208008;110555;12
20191;20;1;2009;208008;4200146;12
20191;20;1;2009;208008;7200031;0
20191;20;1;2009;208008;6200150;0
20191;20;1;2009;208008;942004;13
20191;20;1;2009;208008;8200192;13
20191;20;1;2009;208008;110878;6
20191;20;1;2009;208008;5200057;15
20191;20;1;2009;208008;8200169;18
20191;20;1;2009;208008;8200090;0
20191;20;1;2009;208008;8200087;17
20191;20;1;2009;208008;6200166;11
20191;20;1;2009;208009;5200117;0
20191;20;1;2009;208009;6200166;11
20191;20;1;2009;208009;80A662  ;12
20191;20;1;2009;208009;110878;14
20191;20;1;2009;208009;8200056;14
20191;20;1;2009;208009;6200086;15
20191;20;1;2009;208009;8200021;14
20191;20;1;2009;208009;8200192;13
20191;20;1;2009;208010;7200055;13
20191;20;1;2009;208010;8200087;0
20191;20;1;2009;208010;2200071;15
20191;20;1;2009;209001M ;8200135;11
20191;20;1;2009;209001M ;8200188;12
20191;20;1;2009;209003;1114046;15
20191;20;1;2009;209003;997985;14
20191;20;1;2009;209003;6200166;15
20191;20;1;2009;209003;4200146;14
20191;20;1;2009;209003;8200163;12
20191;20;1;2009;209003;8200169;14
20191;20;1;2009;209003;8200135;14
20191;20;1;2009;209005M ;5200057;14
20191;20;1;2009;209005M ;8200092;11
20191;20;1;2009;209005M ;110878;12
20191;20;1;2009;209006;6200166;17
20191;20;1;2009;209006;5200057;18
20191;20;1;2009;209006;7200186;16
20191;20;1;2009;209006;8200135;1
20191;20;1;2009;209006;8200188;12
20191;20;1;2009;209007;8200135;0
20191;20;1;2009;209007;7200092;10
20191;20;1;2009;209007;4200152;3
20191;20;1;2009;209007;6200086;3
20191;20;1;2009;209007;7200055;11
20191;20;1;2009;209007;5200035;13
20191;20;1;2009;209007;8200056;5
20191;20;1;2009;209007;4200053;11
20191;20;1;2009;209007;7200122;12
20191;20;1;2009;209007;8200188;10
20191;20;1;2009;209007;6200064;16
20191;20;1;2009;209007;7200077;4
20191;20;1;2009;209008;6200150;12
20191;20;1;2009;209008;942004;12
20191;20;1;2009;201101;13200170;12
20191;20;1;2009;201101;13200176;5
20191;20;1;2009;201101;13200191;13
20191;20;1;2009;201101;13200205;12
20191;20;1;2009;201101;10200101;14
20191;20;1;2009;201101;11200232;11
20191;20;1;2009;201101;12200009;13
20191;20;1;2009;201101;12200014;14
20191;20;1;2009;201101;12200115;12
20191;20;1;2009;201101;13200085;12
20191;20;1;2009;201101;13200031;13
20191;20;1;2009;201101;13200037;12
20191;20;1;2009;201101;13200046;12
20191;20;1;2009;201101;13200099;14
20191;20;1;2009;201101;10200072;14
20191;20;1;2009;201101;13200177;14
20191;20;1;2009;201101;9200120;13
20191;20;1;2009;201101;10200120;18
20191;20;1;2009;201101;12200129;6
20191;20;1;2009;201101;12200098;6
20191;20;1;2009;201101;13200138;6
20191;20;1;2009;201101;10200185;6
20191;20;1;2009;201101;13200003;18
20191;20;1;2009;201101;10200205;16
20191;20;1;2009;201101;9200176;6
20191;20;1;2009;201101;13200032;16
20191;20;1;2009;201101;13200096;16
20191;20;1;2009;201101;13200104;6
20191;20;1;2009;201101;11200087;16
20191;20;1;2009;201101;10200073;15
20191;20;1;2009;201103;13200177;15
20191;20;1;2009;201103;13200179;14
20191;20;1;2009;201103;10200085;14
20191;20;1;2009;201103;13200191;14
20191;20;1;2009;201103;13200205;14
20191;20;1;2009;201103;10200101;13
20191;20;1;2009;201103;10200118;14
20191;20;1;2009;201103;10200134;13
20191;20;1;2009;201103;11200232;14
20191;20;1;2009;201103;12200009;15
20191;20;1;2009;201103;12200098;15
20191;20;1;2009;201103;13200134;14
20191;20;1;2009;201103;12200043;13
20191;20;1;2009;201103;13200080;12
20191;20;1;2009;201103;10200205;15
20191;20;1;2009;201103;9200047;15
20191;20;1;2009;201103;13200037;17
20191;20;1;2009;201103;13200096;15
20191;20;1;2009;201103;13200099;15
20191;20;1;2009;201103;10200072;14
20191;20;1;2009;201103;10200073;12
20191;20;1;2009;201103;9200010;14
20191;20;1;2009;201104;13200187;10
20191;20;1;2009;201104;10200116;14
20191;20;1;2009;201104;12200135;15
20191;20;1;2009;201104;13200014;13
20191;20;1;2009;201104;12200071;14
20191;20;1;2009;201104;9200047;15
20191;20;1;2009;201104;13200031;14
20191;20;1;2009;201104;13200037;12
20191;20;1;2009;201104;11200087;13
20191;20;1;2009;201104;11200103;13
20191;20;1;2009;201104;9200082;12
20191;20;1;2009;201104;10200085;15
