cod_escuela,cod_plan,cod_asignatura,nombre_Curso,val_calific_final
1,2009,201003,CALCULO I,16
1,2009,201101,GERENCIA INFORMÁTICA,15
1,2009,201101,GERENCIA INFORMÁTICA,6
1,2009,201101,GERENCIA INFORMÁTICA,14
1,2009,201101,GERENCIA INFORMÁTICA,12
1,2009,201101,GERENCIA INFORMÁTICA,11
1,2009,201101,GERENCIA INFORMÁTICA,13
1,2009,201101,GERENCIA INFORMÁTICA,16
1,2009,201101,GERENCIA INFORMÁTICA,10
1,2009,201101,GERENCIA INFORMÁTICA,13
1,2009,201101,GERENCIA INFORMÁTICA,10
1,2009,201101,GERENCIA INFORMÁTICA,14
1,2009,201101,GERENCIA INFORMÁTICA,14
1,2009,201103,TENDENCIAS TECNOLÓGICAS,17
1,2009,201103,TENDENCIAS TECNOLÓGICAS,16
1,2009,201103,TENDENCIAS TECNOLÓGICAS,15
1,2009,201103,TENDENCIAS TECNOLÓGICAS,14
1,2009,201103,TENDENCIAS TECNOLÓGICAS,16
1,2009,201103,TENDENCIAS TECNOLÓGICAS,15
1,2009,201103,TENDENCIAS TECNOLÓGICAS,14
1,2009,201103,TENDENCIAS TECNOLÓGICAS,14
1,2009,201103,TENDENCIAS TECNOLÓGICAS,16
1,2009,201103,TENDENCIAS TECNOLÓGICAS,15
1,2009,201104,GESTION DE PROYECTOS INFORMATICOS,11
1,2009,201104,GESTION DE PROYECTOS INFORMATICOS,6
1,2009,201104,GESTION DE PROYECTOS INFORMATICOS,12
1,2009,201104,GESTION DE PROYECTOS INFORMATICOS,11
1,2009,201104,GESTION DE PROYECTOS INFORMATICOS,12
1,2009,201104,GESTION DE PROYECTOS INFORMATICOS,13
1,2009,201104,GESTION DE PROYECTOS INFORMATICOS,11
1,2009,201104,GESTION DE PROYECTOS INFORMATICOS,12
1,2009,201104,GESTION DE PROYECTOS INFORMATICOS,12
1,2009,201104,GESTION DE PROYECTOS INFORMATICOS,12
1,2009,201104,GESTION DE PROYECTOS INFORMATICOS,15
1,2009,201104,GESTION DE PROYECTOS INFORMATICOS,15
1,2009,201104,GESTION DE PROYECTOS INFORMATICOS,14
1,2009,201104,GESTION DE PROYECTOS INFORMATICOS,15
1,2009,201104,GESTION DE PROYECTOS INFORMATICOS,14
1,2009,201104,GESTION DE PROYECTOS INFORMATICOS,2
1,2009,201105,PROYECTO DE TESIS II,15
1,2009,201105,PROYECTO DE TESIS II,6
1,2009,201105,PROYECTO DE TESIS II,17
1,2009,201105,PROYECTO DE TESIS II,5
1,2009,201105,PROYECTO DE TESIS II,11
1,2009,201105,PROYECTO DE TESIS II,13
1,2009,201105,PROYECTO DE TESIS II,15
1,2009,201105,PROYECTO DE TESIS II,13
1,2009,201105,PROYECTO DE TESIS II,0
1,2009,201105,PROYECTO DE TESIS II,15
1,2009,201105,PROYECTO DE TESIS II,0
1,2009,201105,PROYECTO DE TESIS II,13
1,2009,201105,PROYECTO DE TESIS II,12
1,2009,201105,PROYECTO DE TESIS II,19
1,2009,201105,PROYECTO DE TESIS II,15
1,2009,201105,PROYECTO DE TESIS II,0
1,2009,201105,PROYECTO DE TESIS II,12
1,2009,201105,PROYECTO DE TESIS II,3
1,2009,201105,PROYECTO DE TESIS II,0
1,2009,201106,SEMINARIO DE LA REALIDAD PERUANA,14
1,2009,201106,SEMINARIO DE LA REALIDAD PERUANA,13
1,2009,201106,SEMINARIO DE LA REALIDAD PERUANA,14
1,2009,201205,COMERCIO ELECTRÓNICO,3
1,2009,201205,COMERCIO ELECTRÓNICO,3
1,2009,201205,COMERCIO ELECTRÓNICO,11
1,2009,201205,COMERCIO ELECTRÓNICO,12
1,2009,201205,COMERCIO ELECTRÓNICO,14
1,2009,201205,COMERCIO ELECTRÓNICO,11
1,2009,201207,GESTIÓN DEL CONOCIMIENTO,12
1,2009,201207,GESTIÓN DEL CONOCIMIENTO,12
1,2009,201207,GESTIÓN DEL CONOCIMIENTO,12
1,2009,201207,GESTIÓN DEL CONOCIMIENTO,10
1,2009,201208,LIDERAZGO EMPRESARIAL,16
1,2009,201208,LIDERAZGO EMPRESARIAL,14
1,2009,201210,DISEÑO DE UNA ARQUITECTURA WEB,14
1,2009,201210,DISEÑO DE UNA ARQUITECTURA WEB,12
1,2009,201210,DISEÑO DE UNA ARQUITECTURA WEB,0
1,2009,201210,DISEÑO DE UNA ARQUITECTURA WEB,7
1,2009,201210,DISEÑO DE UNA ARQUITECTURA WEB,10
1,2009,201210,DISEÑO DE UNA ARQUITECTURA WEB,4
1,2009,201211,PLANEAMIENTO DE RECURSOS EMPRESARIALES,12
1,2009,201211,PLANEAMIENTO DE RECURSOS EMPRESARIALES,0
1,2009,202004,MATEMÁTICA BÁSICA II,15
1,2009,202007,FISICA GENERAL,11
1,2009,202008,ESTRUCTURA DE DATOS,0
1,2009,203001,ALGORÍTMICA III,9
1,2009,203005,ESTADÍSTICA I,12
1,2009,203008,ORGANIZACIÓN Y ADMINISTRACIÓN,14
1,2009,204004,ECUACIONES DIFERENCIALES,9
1,2009,204004,ECUACIONES DIFERENCIALES,0
1,2009,205001,BASE DE DATOS,0
1,2009,205006,MÉTODOS NUMÉRICOS,0
1,2009,205006,MÉTODOS NUMÉRICOS,13
1,2009,205006,MÉTODOS NUMÉRICOS,7
1,2009,205006,MÉTODOS NUMÉRICOS,0
1,2009,205006,MÉTODOS NUMÉRICOS,13
1,2009,205008,SISTEMAS DIGITALES,7
1,2009,205008,SISTEMAS DIGITALES,11
1,2009,205008,SISTEMAS DIGITALES,11
1,2009,205009,LENGUAJES Y TRADUCTORES,12
1,2009,205009,LENGUAJES Y TRADUCTORES,6
1,2009,205009,LENGUAJES Y TRADUCTORES,6
1,2009,205009,LENGUAJES Y TRADUCTORES,1
1,2009,205009,LENGUAJES Y TRADUCTORES,0
1,2009,205010,CONTABILIDAD GERENCIAL,13
1,2009,206001,SISTEMAS OPERATIVOS,13
1,2009,206007,ANÁLISIS DE SISTEMAS,12
1,2009,206007,ANÁLISIS DE SISTEMAS,9
1,2009,206008,INVESTIGACIÓN OPERATIVA II,4
1,2009,206008,INVESTIGACIÓN OPERATIVA II,1
1,2009,206008,INVESTIGACIÓN OPERATIVA II,6
1,2009,206008,INVESTIGACIÓN OPERATIVA II,8
1,2009,206008,INVESTIGACIÓN OPERATIVA II,2
1,2009,206008,INVESTIGACIÓN OPERATIVA II,0
1,2009,206009,TRANSMISIÓN DE DATOS,13
1,2009,206009,TRANSMISIÓN DE DATOS,0
1,2009,206010,ARQUITECTURA DE COMPUTADORAS,14
1,2009,206010,ARQUITECTURA DE COMPUTADORAS,0
1,2009,206010,ARQUITECTURA DE COMPUTADORAS,14
1,2009,206010,ARQUITECTURA DE COMPUTADORAS,0
1,2009,206011,TALLER DE PROYECTOS I,0
1,2009,207002,REDES DE COMPUTADORAS,11
1,2009,207002,REDES DE COMPUTADORAS,14
1,2009,207002,REDES DE COMPUTADORAS,11
1,2009,207002,REDES DE COMPUTADORAS,1
1,2009,207002,REDES DE COMPUTADORAS,11
1,2009,207007,DISEÑO DE INTERFACE DE USUARIO,12
1,2009,207007,DISEÑO DE INTERFACE DE USUARIO,0
1,2009,207008,INTELIGENCIA ARTIFICIAL,11
1,2009,207008,INTELIGENCIA ARTIFICIAL,13
1,2009,207008,INTELIGENCIA ARTIFICIAL,12
1,2009,207008,INTELIGENCIA ARTIFICIAL,12
1,2009,207008,INTELIGENCIA ARTIFICIAL,15
1,2009,207008,INTELIGENCIA ARTIFICIAL,15
1,2009,207008,INTELIGENCIA ARTIFICIAL,12
1,2009,207008,INTELIGENCIA ARTIFICIAL,2
1,2009,207008,INTELIGENCIA ARTIFICIAL,11
1,2009,207008,INTELIGENCIA ARTIFICIAL,15
1,2009,207009,MODELOS Y SIMULACIÓN,15
1,2009,207009,MODELOS Y SIMULACIÓN,12
1,2009,207009,MODELOS Y SIMULACIÓN,13
1,2009,207010,INGENIERÍA ECONÓMICA,15
1,2009,207010,INGENIERÍA ECONÓMICA,17
1,2009,207010,INGENIERÍA ECONÓMICA,0
1,2009,207010,INGENIERÍA ECONÓMICA,13
1,2009,207010,INGENIERÍA ECONÓMICA,14
1,2009,208001,INGENIERIA DE INFORMACION,10
1,2009,208001,INGENIERIA DE INFORMACION,16
1,2009,208001,INGENIERIA DE INFORMACION,17
1,2009,208001,INGENIERIA DE INFORMACION,10
1,2009,208001,INGENIERIA DE INFORMACION,17
1,2009,208001,INGENIERIA DE INFORMACION,17
1,2009,208001,INGENIERIA DE INFORMACION,10
1,2009,208001,INGENIERIA DE INFORMACION,18
1,2009,208003,SISTEMAS DISTRIBUIDOS,10
1,2009,208003,SISTEMAS DISTRIBUIDOS,12
1,2009,208003,SISTEMAS DISTRIBUIDOS,11
1,2009,208003,SISTEMAS DISTRIBUIDOS,0
1,2009,208003,SISTEMAS DISTRIBUIDOS,15
1,2009,208007,INGENIERÍA DE SOFTWARE,0
1,2009,208007,INGENIERÍA DE SOFTWARE,14
1,2009,208007,INGENIERÍA DE SOFTWARE,0
1,2009,208007,INGENIERÍA DE SOFTWARE,14
1,2009,208007,INGENIERÍA DE SOFTWARE,13
1,2009,208008,METODOLOGÍA PARA LA ELABORACIÓN DE TESIS,0
1,2009,208008,METODOLOGÍA PARA LA ELABORACIÓN DE TESIS,12
1,2009,208008,METODOLOGÍA PARA LA ELABORACIÓN DE TESIS,12
1,2009,208008,METODOLOGÍA PARA LA ELABORACIÓN DE TESIS,0
1,2009,208008,METODOLOGÍA PARA LA ELABORACIÓN DE TESIS,0
1,2009,208008,METODOLOGÍA PARA LA ELABORACIÓN DE TESIS,13
1,2009,208008,METODOLOGÍA PARA LA ELABORACIÓN DE TESIS,13
1,2009,208008,METODOLOGÍA PARA LA ELABORACIÓN DE TESIS,6
1,2009,208008,METODOLOGÍA PARA LA ELABORACIÓN DE TESIS,15
1,2009,208008,METODOLOGÍA PARA LA ELABORACIÓN DE TESIS,18
1,2009,208008,METODOLOGÍA PARA LA ELABORACIÓN DE TESIS,0
1,2009,208008,METODOLOGÍA PARA LA ELABORACIÓN DE TESIS,17
1,2009,208008,METODOLOGÍA PARA LA ELABORACIÓN DE TESIS,11
1,2009,208009,TALLER DE PROYECTOS II,0
1,2009,208009,TALLER DE PROYECTOS II,11
1,2009,208009,TALLER DE PROYECTOS II,12
1,2009,208009,TALLER DE PROYECTOS II,14
1,2009,208009,TALLER DE PROYECTOS II,14
1,2009,208009,TALLER DE PROYECTOS II,15
1,2009,208009,TALLER DE PROYECTOS II,14
1,2009,208009,TALLER DE PROYECTOS II,13
1,2009,208010,INGENIERÍA DE CONTROL,13
1,2009,208010,INGENIERÍA DE CONTROL,0
1,2009,208010,INGENIERÍA DE CONTROL,15
1,2009,209003,INGENIERIA DE NEGOCIOS,15
1,2009,209003,INGENIERIA DE NEGOCIOS,14
1,2009,209003,INGENIERIA DE NEGOCIOS,15
1,2009,209003,INGENIERIA DE NEGOCIOS,14
1,2009,209003,INGENIERIA DE NEGOCIOS,12
1,2009,209003,INGENIERIA DE NEGOCIOS,14
1,2009,209003,INGENIERIA DE NEGOCIOS,14
1,2009,209006,DERECHO INFORMÁTICO,17
1,2009,209006,DERECHO INFORMÁTICO,18
1,2009,209006,DERECHO INFORMÁTICO,16
1,2009,209006,DERECHO INFORMÁTICO,1
1,2009,209006,DERECHO INFORMÁTICO,12
1,2009,209007,PROYECTO DE TESIS I,0
1,2009,209007,PROYECTO DE TESIS I,10
1,2009,209007,PROYECTO DE TESIS I,3
1,2009,209007,PROYECTO DE TESIS I,3
1,2009,209007,PROYECTO DE TESIS I,11
1,2009,209007,PROYECTO DE TESIS I,13
1,2009,209007,PROYECTO DE TESIS I,5
1,2009,209007,PROYECTO DE TESIS I,11
1,2009,209007,PROYECTO DE TESIS I,12
1,2009,209007,PROYECTO DE TESIS I,10
1,2009,209007,PROYECTO DE TESIS I,16
1,2009,209007,PROYECTO DE TESIS I,4
1,2009,209008,FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,12
1,2009,209008,FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,12
1,2009,201101,GERENCIA INFORMÁTICA,12
1,2009,201101,GERENCIA INFORMÁTICA,5
1,2009,201101,GERENCIA INFORMÁTICA,13
1,2009,201101,GERENCIA INFORMÁTICA,12
1,2009,201101,GERENCIA INFORMÁTICA,14
1,2009,201101,GERENCIA INFORMÁTICA,11
1,2009,201101,GERENCIA INFORMÁTICA,13
1,2009,201101,GERENCIA INFORMÁTICA,14
1,2009,201101,GERENCIA INFORMÁTICA,12
1,2009,201101,GERENCIA INFORMÁTICA,12
1,2009,201101,GERENCIA INFORMÁTICA,13
1,2009,201101,GERENCIA INFORMÁTICA,12
1,2009,201101,GERENCIA INFORMÁTICA,12
1,2009,201101,GERENCIA INFORMÁTICA,14
1,2009,201101,GERENCIA INFORMÁTICA,14
1,2009,201101,GERENCIA INFORMÁTICA,14
1,2009,201101,GERENCIA INFORMÁTICA,13
1,2009,201101,GERENCIA INFORMÁTICA,18
1,2009,201101,GERENCIA INFORMÁTICA,6
1,2009,201101,GERENCIA INFORMÁTICA,6
1,2009,201101,GERENCIA INFORMÁTICA,6
1,2009,201101,GERENCIA INFORMÁTICA,6
1,2009,201101,GERENCIA INFORMÁTICA,18
1,2009,201101,GERENCIA INFORMÁTICA,16
1,2009,201101,GERENCIA INFORMÁTICA,6
1,2009,201101,GERENCIA INFORMÁTICA,16
1,2009,201101,GERENCIA INFORMÁTICA,16
1,2009,201101,GERENCIA INFORMÁTICA,6
1,2009,201101,GERENCIA INFORMÁTICA,16
1,2009,201101,GERENCIA INFORMÁTICA,15
1,2009,201103,TENDENCIAS TECNOLÓGICAS,15
1,2009,201103,TENDENCIAS TECNOLÓGICAS,14
1,2009,201103,TENDENCIAS TECNOLÓGICAS,14
1,2009,201103,TENDENCIAS TECNOLÓGICAS,14
